district,N_street,S_street,E_street,W_street
D8,85th,83rd,1st,2nd
D8,89th,85th,3rd,Lex
D8,80th,77th,2nd,3rd
D8,75th,71st,Park,Madison
D8,73rd,70th,3rd,2nd
D7,88th,85th,West End,Riverside
D7,86th,83rd,Columbus,Amsterdam
D7,81st,78th,Columbus,Amsterdam
D7,76th,73rd,Amsterdam,West End
D7,72nd,69th,Columbus,Amsterdam
D9,151st,148th,Amsterdam,Broadway
D9,142nd,139th,Amsterdam,Broadway
D9,130th,127th,Saint Nicholas,Convent
D9,120th,116th,Morningside,Amsterdam
D9,114th,111th,Broadway,Riverside
D10,126th,123rd,Fredruck Douglass,Adam Clayton Powell Jr. 
D10,121st,117th,Fredruck Douglass,Manhattan
D10,120th,117th,Malcom X,Adam Clayton Powell Jr
D10,114th,111th,Adam Clayton Powell Jr,Fredrick Douglass
