site,block,designation,collector,date,order,family,tribe,sampling,color
D9,S2,D9S2,,6.4.19,Diptera,Athomyiidae,,1,yellow
D9,S2,D9S2,,6.4.19,Diptera,Athomyiidae,,1,blue
D9,S2,D9S2,,6.4.19,Diptera,Calliphoridae,,1,white
D9,S1,D9S1,,6.4.19,Diptera,Dolichopodidae,,1,blue
D9,S1,D9S1,,6.4.19,Diptera,Dolichopodidae,,1,white
D9,S1,D9S1,,6.4.19,Diptera,Dolichopodidae,,1,white
D9,S1,D9S1,,6.4.19,Diptera,Dolichopodidae,,1,yellow
D9,S1,D9S1,,6.4.19,Diptera,Dolichopodidae,,1,yellow
D9,S1,D9S1,,6.4.19,Diptera,Dolichopodidae,,1,yellow
D9,S1,D9S1,,6.4.19,Diptera,Dolichopodidae,,1,yellow
D9,S1,D9S1,,6.4.19,Diptera,Dolichopodidae,,1,yellow
D9,S1,D9S1,,6.4.19,Diptera,Dolichopodidae,,1,yellow
D9,S1,D9S1,,6.4.19,Diptera,Dolichopodidae,,1,yellow
D9,S1,D9S1,,6.4.19,Diptera,Dolichopodidae,,1,yellow
D9,S2,D9S2,,6.4.19,Diptera,Dolichopodidae,,1,yellow
D9,S2,D9S2,,6.4.19,Diptera,Sciaridae,,1,yellow
D9,S2,D9S2,,6.4.19,Diptera,Sciaridae,,1,yellow
D9,S2,D9S2,,6.4.19,Diptera,Sciaridae,,1,yellow
D9,S2,D9S2,,6.4.19,Diptera,Sciaridae,,1,yellow
D9,S2,D9S2,,6.4.19,Diptera,Sciaridae,,1,yellow
D9,S2,D9S2,,6.4.19,Diptera,Sciaridae,,1,yellow
D9,S3,D9S3,,6.4.19,Diptera,Sciaridae,,1,yellow
D7,S5,D7S5,,6.26.19,Coleoptera,Anobiidae,,1,white
D10,S1,D10S1,,6.17.19,Collembola,Entomobryidae,,1,yellow
D10,S1,D10S1,,6.17.19,Collembola,Entomobryidae,,1,yellow
D10,S1,D10S1,,6.17.19,Collembola,Entomobryidae,,1,yellow
D10,S1,D10S1,,6.17.19,Collembola,Entomobryidae,,1,yellow
D10,S1,D10S1,,6.17.19,Collembola,Entomobryidae,,1,white
D10,S1,D10S1,,6.17.19,Collembola,Entomobryidae,,1,white
D10,S2,D10S2,,6.17.19,Collembola,Entomobryidae,,1,blue
D10,S3,D10S3,,6.17.19,Collembola,Entomobryidae,,1,white
D10,S3,D10S3,,6.17.19,Collembola,Entomobryidae,,1,yellow
D10,S3,D10S3,,6.17.19,Collembola,Entomobryidae,,1,yellow
D10,S4,D10S4,,6.17.19,Collembola,Entomobryidae,,1,white
D8,S1,D8S1,,6.12.19,Diptera,Braconidae,,1,white
D8,S2,D8S2,,6.12.19,Diptera,Braconidae,,1,yellow
D8,S4,D8S4,,6.12.19,Diptera,Braconidae,,1,yellow
D10,S2,D10S2,,6.17.19,Diptera,Calliphoridae,,1,yellow
D10,S2,D10S2,,6.17.19,Diptera,Calliphoridae,,1,yellow
D10,S2,D10S2,,6.17.19,Diptera,Calliphoridae,,1,yellow
D10,S4,D10S4,,6.17.19,Diptera,Calliphoridae,,1,yellow
D10,S4,D10S4,,6.17.19,Diptera,Calliphoridae,,1,white
D10,S5,D10S5,,6.17.19,Diptera,Calliphoridae,,1,white
D7,S1,D7S1,,6.26.19,Diptera,Calliphoridae,,1,white
D8,S1,D8S1,,6.12.19,Diptera,Calliphoridae,,1,blue
D8,S1,D8S1,,6.12.19,Diptera,Calliphoridae,,1,yellow
D8,S1,D8S1,,6.12.19,Diptera,Calliphoridae,,1,yellow
D8,S1,D8S1,,6.12.19,Diptera,Calliphoridae,,1,white
D8,S1,D8S1,,6.12.19,Diptera,Calliphoridae,,1,white
D8,S2,D8S2,,6.12.19,Diptera,Calliphoridae,,1,blue
D8,S2,D8S2,,6.12.19,Diptera,Calliphoridae,,1,yellow
D8,S2,D8S2,,6.12.19,Diptera,Calliphoridae,,1,yellow
D8,S2,D8S2,,6.12.19,Diptera,Calliphoridae,,1,yellow
D8,S2,D8S2,,6.12.19,Diptera,Calliphoridae,,1,yellow
